     Group.1 Group.2             x
211       jh      eh -1.605567e-02
212       ao      er -3.728033e-02
213       ax      er -2.300000e-02
214       ay      er -3.200000e-02
215        d      er -9.812000e-03
216       dh      er -2.844633e-02
217       eh      er -3.611847e-02
218       ey      er  1.944100e-02
219        f      er  1.998769e-03
220        g      er -9.333333e-04
221       h#      er  1.783793e-01
222       hh      er  6.122333e-03
223       ih      er -1.110150e-02
224       iy      er -1.390487e-02
225        k      er  1.404000e-03
226        l      er -5.303400e-02
227        m      er -1.195940e-02
228       ow      er -5.288567e-02
229        p      er  8.955700e-03
230        r      er -8.245350e-02
231        s      er  1.720844e-02
232       sh      er  1.224483e-02
233        t      er -9.741875e-03
234       th      er -2.066900e-02
235       uh      er -6.761050e-02
236       uw      er -4.250000e-02
237        w      er -2.015973e-02
238       aa      er  2.249300e-02
239       ah      er -4.697900e-02
240        b      er  7.501500e-03
241       ch      er  4.813500e-03
242        n      er -1.946529e-02
243        v      er -7.077091e-03
244        y      er -1.408978e-02
245        z      er  4.160000e-03
246       aw      er -1.473940e-02
247        d      ey -4.156625e-03
248       dh      ey -1.076560e-02
249       ey      ey  2.151980e-01
250        g      ey -1.438900e-02
251       hh      ey -7.352000e-03
252       iy      ey  1.365400e-02
253        k      ey -3.429333e-03
254        l      ey -3.235587e-02
255        m      ey -1.436700e-02
256        p      ey -1.158130e-01
257        r      ey -7.185250e-03
258        s      ey  8.240000e-03
259        t      ey -3.030133e-03
260       th      ey -4.556700e-02
261       uh      ey -3.502200e-02
262        w      ey -3.139144e-02
263        b      ey -3.000000e-03
264        n      ey -1.072343e-02
265        z      ey  1.234200e-02
266       jh      ey -3.584000e-02
267       ae       f -5.796500e-03
268       ao       f -4.220733e-02
269       ax       f  4.847941e-03
270       ay       f  2.844333e-03
271        d       f -2.038240e-02
272       eh       f  1.019233e-02
273       er       f -6.504667e-03
274       ey       f  9.640000e-03
275       h#       f -1.717233e-02
276       ih       f  2.175273e-03
277       iy       f  3.527125e-03
278        k       f -1.905775e-02
279        l       f  1.075600e-02
280        m       f -3.484000e-03
281       ng       f  4.652000e-02
282       ow       f -2.363600e-03
283        p       f -1.300000e-02
284        r       f -7.351000e-03
285        s       f  1.817650e-02
286        t       f -2.594450e-02
287       uh       f  7.536000e-03
288       uw       f -2.452333e-03
289       aa       f  4.791500e-03
290       ah       f  3.342429e-03
291        n       f -9.257750e-03
292        v       f -4.681200e-02
293        z       f  3.262200e-02
294       aw       f  6.260000e-04
295       ae       g  1.825300e-02
296       ao       g -8.865500e-02
297       ax       g -7.042167e-03
298       ay       g -1.308000e-04
299        d       g  4.632667e-03
300       eh       g -2.511100e-02
301       er       g -3.000000e-03
302       ey       g  5.720500e-03
303        g       g  6.488600e-02
304       h#       g  2.267050e-02
305       ih       g -3.409643e-03
306       iy       g -1.923636e-03
307        k       g  1.395033e-02
308        l       g -9.891500e-03
309        m       g -7.450000e-04
310       ng       g  9.451444e-03
311       ow       g -1.530660e-02
312        r       g  4.017000e-03
313        s       g -2.710350e-02
314        t       g -4.519600e-02
315       uh       g -3.212667e-03
316       uw       g -8.310000e-04
317       aa       g  2.799900e-02
318       ah       g -1.241545e-01
319        b       g -4.571500e-02
320        n       g -4.769286e-03
321        v       g -1.473500e-02
322        y       g -7.930000e-04
323        z       g -4.548500e-03
324       aw       g -1.037200e-02
325       ae      h# -3.300917e-03
326       ao      h# -2.195100e-02
327       ax      h# -2.609118e-03
328       ay      h# -9.779429e-03
329        d      h# -1.596463e-02
330       eh      h# -1.302817e-02
331       er      h# -6.157379e-03
332       ey      h# -1.022686e-02
333        f      h#  5.065040e-02
334        g      h# -3.168740e-01
335       h#      h#  4.158779e-02
336       hh      h#  6.836500e-02
337       ih      h# -3.134362e-02
338       iy      h# -3.348914e-02
339        k      h#  2.281112e-02
340        l      h# -2.245573e-02
341        m      h#  9.685889e-03
342       ng      h#  2.568100e-02
343       ow      h# -2.154809e-02
344        p      h#  2.631680e-02
345        r      h#  2.530857e-03
346        s      h#  6.282804e-02
347        t      h# -8.151738e-03
348       th      h#  1.594800e-02
349       uh      h# -6.623417e-03
350       uw      h# -9.216609e-03
351        w      h# -3.002200e-02
352       aa      h# -8.171640e-02
353       ah      h#  1.727500e-04
354       ch      h#  6.591900e-02
355        n      h# -2.197347e-02
356        v      h# -4.041860e-02
357        z      h#  2.828785e-02
358       aw      h# -2.468500e-03
359       jh      h#  1.290900e-02
360       ae      hh -1.665700e-02
361       ao      hh  1.467100e-02
362       ax      hh -7.516667e-05
363       ay      hh  6.322000e-02
364       eh      hh  1.700000e-02
365       er      hh  6.465000e-03
366       ey      hh -3.672300e-02
367        f      hh -3.000000e-03
368        g      hh -7.582333e-03
369       h#      hh  6.457500e-03
370       ih      hh -5.555571e-03
371       iy      hh  2.041429e-04
372        l      hh -3.200000e-02
373        m      hh -5.598000e-03
374       ow      hh -1.425300e-02
375        r      hh -5.060667e-03
376        s      hh  2.334500e-02
377        t      hh -9.115000e-04
378       uw      hh  9.107500e-03
379       ah      hh  8.518000e-03
380       ch      hh  4.836300e-02
381        n      hh -2.343500e-03
382        v      hh -1.068000e-03
383        y      hh  1.326500e-02
384        z      hh  5.691750e-02
385       oy      hh -1.069700e-02
386       aw      hh -1.074150e-02
387       ae      ih  2.632800e-02
388       ax      ih -7.338033e-02
389       ay      ih -2.327750e-02
390        d      ih -1.301502e-02
391       dh      ih -2.396623e-02
392       eh      ih  6.665000e-03
393       er      ih -1.109525e-02
394       ey      ih -1.336420e-01
395        f      ih -4.727316e-03
396        g      ih  3.879050e-03
397       h#      ih  4.279939e-02
398       hh      ih -9.110545e-03
399       ih      ih -1.275900e-02
400       iy      ih  2.334000e-03
401        k      ih -4.258368e-03
402        l      ih -2.172509e-02
403        m      ih -1.491035e-02
404       ng      ih -1.245350e-02
405       ow      ih -1.644467e-02
406        p      ih -1.260300e-02
407        r      ih -1.587294e-02
408        s      ih  6.635206e-03
409       sh      ih -7.762000e-03
410        t      ih -2.079064e-02
411       th      ih -1.554881e-02
412       uh      ih -2.570600e-02
413       uw      ih  4.078400e-03
414        w      ih -2.548813e-02
415       aa      ih -3.234000e-03
416       ah      ih  3.036500e-02
417        b      ih -1.868535e-02
418       ch      ih -3.523833e-03
419        n      ih -1.498735e-02
420        v      ih -1.836607e-02
421        y      ih -2.994316e-03
422        z      ih -5.188364e-03
423       aw      ih -4.406650e-02
424       jh      ih -1.194440e-02
425       zh      ih  1.526450e-02
426       ax      iy -5.386100e-02
427        d      iy -3.008937e-03
428       dh      iy -1.412250e-02
429       er      iy -2.012115e-02
430       ey      iy -5.510900e-02
431        f      iy  4.354500e-03
432       h#      iy  8.622400e-03
433       hh      iy -9.148000e-03
434       ih      iy  7.000000e-03
435       iy      iy  1.760729e-02
436        k      iy -5.900500e-03
437        l      iy -2.142536e-02
438        m      iy -1.436552e-02
439       ow      iy  3.504333e-03
440        p      iy  2.472308e-04
441        r      iy -1.913318e-02
442        s      iy  7.391261e-03
443       sh      iy  2.814750e-03
444        t      iy -1.894588e-03
445       th      iy -2.363300e-02
446       uh      iy -5.446750e-03
447       uw      iy -2.151800e-02
448        w      iy -2.077505e-02
449       aa      iy -1.061700e-02
450       ah      iy -1.247400e-02
451        b      iy -5.899440e-03
452       ch      iy -6.772000e-03
453        n      iy -7.610806e-03
454        v      iy  5.848000e-03
455        y      iy  1.764200e-02
456        z      iy  6.339000e-03
457       jh      iy -1.882000e-03
458       ae       k  6.560615e-03
459       ao       k  1.417500e-03
460       ax       k  4.754000e-03
461       ay       k  9.006771e-03
462        d       k -2.514200e-02
463       eh       k  1.487953e-02
464       er       k -1.129044e-02
465       ey       k -1.670438e-03
466        f       k  4.711000e-03
467        g       k  1.334333e-02
468       h#       k  4.289222e-03
469       ih       k  4.669439e-03
470       iy       k  2.292500e-04
471        k       k -2.197250e-02
472        l       k -4.253333e-02
473        m       k -2.696333e-03
474       ng       k  3.425136e-03
475       ow       k -2.073533e-02
476        p       k -5.877100e-02
477        r       k -1.660000e-03
478        s       k  1.226764e-02
479       sh       k  5.929800e-02
480        t       k -1.003800e-02
481       uh       k -6.538778e-03
482       uw       k -7.490000e-04
483       aa       k  5.581600e-03
484       ah       k  4.115500e-03
485       ch       k -7.635000e-03
486        n       k -5.368667e-03
487        v       k -1.557150e-02
488        y       k  1.525000e-02
489        z       k -6.858750e-03
490       aw       k  1.310800e-02
491       jh       k -5.753000e-03
492       ae       l  3.992100e-02
493       ao       l  1.196607e-02
494       ax       l  5.766084e-02
495       ay       l  1.051500e-02
496        d       l  7.821000e-03
497       eh       l  2.286694e-02
498       er       l -9.657167e-03
499       ey       l  1.075750e-02
500        f       l -4.710000e-03
501       h#       l  5.719273e-03
502       ih       l  1.045753e-02
503       iy       l -3.918700e-03
504        k       l  8.359833e-03
505        l       l  2.156000e-03
506        m       l  7.014250e-03
507       ng       l  1.562300e-02
508       ow       l -8.822111e-03
509        p       l  4.234000e-03
510        r       l -2.574757e-02
511        s       l  1.807655e-02
512        t       l -1.733500e-03
513       uh       l -1.224067e-02
514       uw       l -2.629850e-02
515       aa       l -7.783615e-03
516       ah       l  1.341550e-02
517        b       l -2.076333e-03
518        n       l  1.516312e-02
519        v       l -5.966500e-03
520        y       l  4.902000e-03
521        z       l  1.118050e-02
522       jh       l -2.002500e-02
523       ae       m  3.010917e-03
524       ao       m  1.253500e-02
525       ax       m  1.697631e-03
526       ay       m  1.723600e-02
527        d       m -1.800000e-02
528       eh       m  9.354100e-03
529       er       m  4.041900e-02
530       ey       m -3.027750e-03
531       h#       m  1.287650e-02
532       ih       m -9.606452e-05
533       iy       m -6.289895e-03
534        k       m -3.218567e-02
535        l       m -1.501233e-02
536        m       m  7.700000e-02
537       ng       m -3.133500e-03
538       ow       m -1.545692e-03
539        p       m  5.732000e-03
540        r       m  1.688722e-02
541        s       m -1.214400e-03
542        t       m -4.190900e-02
543       th       m  1.810600e-02
544       uh       m -1.245000e-02
545       uw       m -2.135560e-02
546       aa       m  1.401879e-02
547       ah       m  3.783133e-03
548        b       m -1.383350e-01
549       ch       m -3.000000e-03
550        n       m -5.417000e-03
551        z       m -2.440800e-03
552       aw       m  7.865000e-03
553       ao      ng  1.050133e-02
554       ax      ng  1.203575e-02
555       ay      ng  8.010000e-04
556       ey      ng  1.020200e-02
557       h#      ng  1.970000e-04
558       ih      ng  2.178724e-02
559       iy      ng -9.814500e-04
560        l      ng  1.415000e-02
561       aa      ng  2.248200e-02
562       ah      ng  3.835714e-03
563        n      ng  7.400000e-03
564       ae      ow -1.724700e-02
565       ax      ow  9.753333e-04
566       ay      ow  4.377000e-03
567        d      ow  1.955700e-02
568       dh      ow -8.132500e-03
569       eh      ow  2.532800e-02
570       er      ow -1.252667e-03
571        f      ow -2.471843e-02
572        g      ow -7.305533e-03
573       h#      ow  1.300233e-02
574       hh      ow  8.161500e-03
575       ih      ow  3.400000e-03
576       iy      ow  2.697575e-02
577        k      ow -1.602160e-02
578        l      ow -9.376600e-03
579        m      ow  7.888000e-03
580       ng      ow -7.397000e-03
581        p      ow  9.334000e-04
582        r      ow -7.910083e-03
583        s      ow  2.388957e-02
584       sh      ow  1.308250e-03
585        t      ow -7.524667e-03
586       th      ow  3.124500e-03
587       uh      ow  2.860700e-02
588        w      ow -3.143050e-02
589       aa      ow  1.387550e-02
590       ah      ow  1.267000e-02
591        b      ow  6.049000e-03
592        n      ow -2.825983e-03
593        y      ow -1.971950e-02
594        z      ow -3.822350e-02
595       jh      ow -3.077520e-02
596       ae       p -4.820333e-03
597       ax       p  1.880400e-03
598       ay       p -1.146700e-02
599        d       p  2.170400e-02
600       eh       p  3.207333e-03
601       er       p -1.392700e-02
602       ey       p  2.375333e-03
603        f       p  2.247600e-02
604       h#       p -2.310177e-02
605       ih       p  7.557200e-03
606       iy       p -8.101867e-03
607        k       p  9.820000e-04
608        l       p -2.294750e-02
609        m       p  1.345989e-02
610       ng       p -4.561000e-03
611       ow       p  2.613000e-03
612        r       p -1.039167e-02
613        s       p  1.174083e-02
614        t       p  1.530850e-02
615       uh       p -5.483200e-02
616       uw       p  1.942000e-03
617       aa       p -6.644800e-03
618       ah       p  2.010456e-02
619        b       p  3.471467e-02
620        n       p  2.795875e-03
621        v       p  1.572600e-02
622        z       p -1.006367e-02
623       aw       p  1.864200e-02
624       ao       r -2.545591e-02
625       ax       r  3.691721e-02
626       ay       r -3.258667e-03
627        d       r -1.422533e-02
628       eh       r -2.014483e-02
629       er       r -2.225000e-02
630       ey       r  1.440000e-04
631        f       r  1.013289e-02
632        g       r  1.110457e-02
633       h#       r -8.840000e-05
634       ih       r  5.214500e-03
635       iy       r  5.979667e-03
636        k       r  8.741583e-03
637        l       r -4.198250e-02
638       ow       r -2.950455e-02
639        p       r  8.737167e-03
640        r       r -7.047600e-02
641        s       r -9.382500e-04
642       sh       r -2.265100e-02
643        t       r -2.614800e-03
644       th       r  9.467557e-02
645       uh       r -3.874400e-03
646       uw       r -4.337750e-03
647       aa       r -8.830391e-03
648       ah       r  1.178200e-02
649        b       r -2.000000e-03
650       ch       r -2.966500e-03
651        n       r -1.467250e-02
652        v       r -1.860143e-03
653        y       r  3.521600e-02
654        z       r -4.987500e-03
655       aw       r -2.228900e-02
656       jh       r -1.071740e-01
657       ae       s -1.199331e-02
658       ao       s -1.684850e-02
659       ax       s -8.233362e-03
660       ay       s -8.384000e-04
661        d       s -1.838630e-02
662       eh       s -1.314708e-03
663       er       s -3.195720e-02
664       ey       s -8.446833e-03
665        f       s -7.921000e-03
666        g       s -3.358000e-02
667       h#       s -6.117929e-02
668       hh       s -5.781850e-02
669       ih       s  4.642954e-03
670       iy       s -9.013526e-03
671        k       s -4.008739e-02
672        l       s -2.397947e-02
673        m       s -1.343029e-02
674       ng       s  2.836250e-02
675       ow       s -1.934291e-02
676        p       s -1.820000e-02
677        r       s -1.464208e-02
678        s       s -6.852667e-03
679        t       s -2.497382e-02
680       uh       s -1.907800e-03
681       uw       s -7.672200e-03
682        w       s  1.573400e-02
683       aa       s -3.423625e-03
684       ah       s -6.175385e-04
685        b       s  1.818600e-02
686        n       s  1.924760e-03
687        v       s  9.778000e-03
688        z       s -3.796750e-03
689       oy       s  4.578500e-03
690       aw       s -1.916700e-02
691       jh       s -3.918000e-03
692       ax      sh -2.791333e-03
693       ey      sh  6.746400e-03
694       h#      sh -2.450600e-02
695       ih      sh -7.272400e-03
696        k      sh -2.034425e-02
697        m      sh -9.170500e-03
698        s      sh  1.868400e-02
699        t      sh -3.181250e-02
700       uh      sh  7.000000e-03
701       uw      sh  2.606800e-02
702       aa      sh  8.796000e-03
703       ah      sh  7.217800e-03
704        n      sh  4.432143e-03
705       ae       t -1.439169e-02
706       ao       t -3.366333e-03
707       ax       t -4.756786e-03
708       ay       t  1.215757e-02
709        d       t  1.100700e-02
710       eh       t -6.095937e-03
711       er       t -6.494667e-03
712       ey       t -1.077809e-02
713        f       t -7.710200e-03
714       h#       t  3.775267e-03
715       ih       t -1.434100e-03
716       iy       t -4.767944e-03
717        k       t -2.601425e-02
718        l       t -1.373975e-02
719        m       t -1.207450e-02
720       ng       t -3.220500e-02
721       ow       t -1.590900e-02
722        p       t -7.456571e-03
723        r       t -1.763228e-02
724        s       t  2.415002e-02
725       sh       t  3.250750e-03
726        t       t  8.213875e-03
727       th       t -2.300000e-02
728       uh       t -3.063667e-03
729       uw       t  3.630100e-02
730       aa       t -2.332965e-02
731       ah       t -1.488500e-03
732        n       t -7.893179e-03
733        v       t -6.499000e-03
734        z       t -1.111300e-02
735       aw       t -8.385684e-03
736       ax      th  1.783500e-02
737       ay      th  8.451000e-03
738        d      th  3.178933e-02
739       eh      th  1.275750e-02
740       ey      th  2.005000e-02
741       h#      th  9.461375e-02
742       ih      th  1.654400e-03
743       iy      th -7.623667e-03
744        l      th -4.223900e-02
745        m      th  1.396075e-02
746       ng      th  2.700000e-02
747       ow      th  2.878000e-03
748        s      th  1.500650e-02
749        t      th  6.009200e-02
750       th      th -2.692000e-03
751       uh      th  3.273000e-03
752       uw      th -1.811667e-03
753       aa      th  1.005100e-02
754       ah      th -2.792500e-03
755        n      th -8.895667e-03
756        v      th -1.763100e-02
757       aw      th -2.463400e-02
758       ao      uh -4.744650e-02
759       ax      uh -8.695000e-03
760       ay      uh  3.063300e-02
761        d      uh -1.429025e-02
762       dh      uh -1.345850e-02
763       eh      uh -1.693040e-02
764       er      uh  2.055000e-03
765       ey      uh  1.938400e-02
766        f      uh -3.713250e-03
767        g      uh -9.512250e-03
768       ih      uh -3.179540e-02
769       iy      uh -3.273533e-02
770        k      uh -6.374000e-03
771        l      uh -3.251970e-02
772        m      uh -3.387075e-02
773       ow      uh -2.912850e-02
774        p      uh -4.888833e-03
775        r      uh -2.857050e-02
776        s      uh -2.894429e-03
777       sh      uh -6.770500e-03
778        t      uh -1.201406e-02
779       uw      uh -2.176917e-02
780        w      uh -1.548867e-02
781       ah      uh -4.960733e-02
782        b      uh -4.344200e-03
783       ch      uh -7.366667e-04
784        n      uh -1.235000e-02
785        v      uh -1.859767e-02
786        y      uh -3.308855e-02
787        z      uh -1.330050e-02
788       jh      uh -1.131300e-02
789       ae      uw -2.300000e-02
790        d      uw  5.780741e-03
791       dh      uw -2.944700e-02
792       er      uw -5.421333e-03
793        f      uw -8.102000e-03
794       hh      uw  5.719000e-03
795       ih      uw -1.352700e-02
796       iy      uw  2.647133e-02
797        k      uw -2.412500e-04
798        l      uw  4.892167e-02
799        m      uw  6.889400e-02
800        r      uw -2.987320e-02
801        s      uw  1.473700e-02
802        t      uw  2.235303e-03
803       uw      uw  6.286667e-03
804       ah      uw  6.531300e-02
805       ch      uw  7.214667e-03
806        n      uw -1.141200e-02
807        y      uw  3.560000e-06
808       jh      uw -2.768100e-02
809       ae       w  8.859500e-03
810       ao       w  6.757500e-03
811       ax       w  1.006100e-02
812       ay       w  2.620500e-03
813        d       w  4.068400e-03
814       eh       w  2.383667e-03
815       er       w  3.138075e-02
816       ey       w -6.062750e-03
817        f       w  3.636500e-03
818        g       w  8.000000e-03
819       h#       w  2.454331e-02
820       hh       w -2.323900e-02
821       ih       w -3.437000e-03
822       iy       w -5.095846e-03
823        k       w -7.909900e-02
824        l       w -1.249600e-02
825        m       w  9.413600e-03
826       ng       w -3.098000e-03
827       ow       w -7.370833e-04
828        r       w -3.033500e-03
829        s       w  2.257669e-02
830        t       w  9.973250e-03
831       uh       w  8.917900e-03
832       uw       w  7.359200e-03
833       aa       w  1.480000e-05
834       ah       w -1.514000e-03
835        b       w -1.250000e-02
836       ch       w -1.091000e-03
837        n       w  1.490713e-02
838        z       w -5.248286e-03
839       aw       w  1.361667e-02
840       ae      aa  9.150000e-02
841       ax      aa  4.195200e-02
842       ay      aa  1.629900e-02
843        d      aa -1.876200e-02
844       dh      aa -2.295300e-02
845       eh      aa -1.209450e-02
846       er      aa  7.706300e-02
847       ey      aa  2.738000e-03
848        f      aa  1.091625e-02
849        g      aa -1.497457e-02
850       h#      aa  2.542420e-02
851       hh      aa -9.962364e-03
852       iy      aa  1.268100e-02
853        k      aa  2.453846e-04
854        l      aa -1.406611e-02
855        m      aa -1.041500e-02
856       ng      aa  1.646000e-03
857       ow      aa -1.200000e-02
858        p      aa  1.505771e-02
859        r      aa -1.067967e-02
860        s      aa  2.119000e-03
861        t      aa -3.930667e-03
862        w      aa -1.835475e-02
863       aa      aa  2.943500e-03
864        b      aa  7.904000e-03
865       ch      aa -1.237900e-02
866        n      aa -1.856588e-03
867        v      aa  9.923500e-03
868        y      aa  2.313000e-03
869        z      aa -2.610000e-03
870       jh      aa -4.838450e-02
871       ae      ah -6.951050e-02
872       ao      ah -4.170633e-02
873       ax      ah  2.626850e-02
874       ay      ah  1.223880e-01
875        d      ah -2.664667e-04
876       dh      ah -2.000200e-02
877       eh      ah -8.889500e-03
878       er      ah -2.786200e-02
879        f      ah -1.250900e-02
880        g      ah  2.138333e-04
881       h#      ah  2.501320e-02
882       hh      ah -7.557400e-03
883       ih      ah  3.852900e-02
884       iy      ah -1.003167e-02
885        k      ah -5.066208e-03
886        l      ah -2.137300e-02
887        m      ah -1.517047e-02
888       ng      ah -6.297000e-03
889       ow      ah -3.435500e-02
890        p      ah -1.636167e-03
891        r      ah -6.911600e-03
892        s      ah  3.976126e-02
893       sh      ah -8.284000e-03
894        t      ah -2.026111e-03
895       th      ah -9.279333e-03
896       uh      ah  1.755300e-02
897       uw      ah -3.053167e-02
898        w      ah -2.667285e-02
899       aa      ah -2.044050e-02
900        b      ah  1.350950e-02
901       ch      ah -1.726497e-01
902        n      ah -1.146429e-02
903        v      ah  6.817000e-03
904        y      ah  1.513800e-02
905       jh      ah -1.940083e-02
906       ae       b -6.885000e-03
907       ax       b -1.338087e-03
908       ay       b  1.064000e-03
909        d       b  3.711740e-02
910       eh       b  6.401500e-03
911       er       b -5.811250e-03
912       ey       b -1.403625e-02
913        f       b -5.943250e-02
914       h#       b  2.590500e-02
915       ih       b -5.281500e-03
916       iy       b -1.849929e-02
917        l       b -1.003420e-02
918        m       b -3.473571e-03
919       ng       b  5.477000e-03
920       ow       b -1.662587e-02
921        p       b  1.761042e-02
922        r       b -6.973333e-03
923        s       b -8.581571e-03
924        t       b -1.833000e-03
925       uh       b  1.020600e-02
926       uw       b  7.319000e-03
927       aa       b -1.531200e-03
