Word,nProns,pron
united,3,y n ay ih
court,1,k ow r t
jails,1,jh ey l z
provide,1,p ax r v ay d f
six,2,s ih k
six,2,s ih k s
dinner,2,t d ih n er
dinner,2,d ih n er
stayed,1,s t ey d
write,1,ay t
how,6,hh aw
how,6,ih hh aw
how,6,ah
how,6,hh aa
how,6,hh aa ay
how,6,hh ah
hot,1,hh aa t
low,1,l ow
responsibility,1,r ih s p aa s ax b ih uh ax t iy
instead,2,n ih s t eh d
instead,2,ih n s eh d
economy,1,ih k aa ih m iy
somoza,1,s ah m ow s ax
fever,1,f iy v ax r
okay,2,ow k ey
okay,2,ow g ey
may,1,m ey
earlier,1,er l iy er
stars,1,s t aa r z
ambassador,5,ih m b ae s d r ax
ambassador,5,ae m b ae s d ax r
ambassador,5,ih m b ae s ax d er
ambassador,5,eh m p b ae s jh ax r
ambassador,5,ae m b ae s ih d er
softball,2,s ao f b ao
softball,2,s ao f b ao l
such,3,s ax ch
such,3,s ah ch
such,3,ah s ah ch
guys,1,g ay z
grow,1,k g r ow
man,1,m ae n
a,12,iy
a,12,f
a,12,ah
a,12,l
a,12,ih
a,12,uh z
a,12,ey
a,12,uh
a,12,y
a,12,ax
a,12,ax m
a,12,ow
pocket,2,p aa k
pocket,2,p aa k ih t
remember,2,r m eh m ax r
remember,2,er m eh m b er
third,1,th er d
that'd,1,dh ae t ax d
maybe,4,m ih b
maybe,4,m ey p iy
maybe,4,m ey
maybe,4,m ey b iy
guatemala,1,g w aa t ax m aa l ax
so,5,s ax
so,5,th ow
so,5,s ih
so,5,s uh
so,5,s ow
things,5,dh ih ng z
things,5,dh iy ng k s
things,5,th ih ng z
things,5,th iy ng s
things,5,th iy ng z
worst,1,w er s t
first,1,f er s
topic's,1,t aa p k s
began,1,b iy g ae n
wind,1,w ih n
that's,12,ih t s
that's,12,ax s
that's,12,th eh s
that's,12,dh ax t s
that's,12,ae t s
that's,12,d dh ae t s
that's,12,dh ae s
that's,12,s
that's,12,d eh s
that's,12,dh eh s
that's,12,dh ae t s
that's,12,ng g ah t s
help,1,hh eh l p
office,1,ay aa f ax s
don't,14,ow n
don't,14,n ax
don't,14,t ow
don't,14,d ao
don't,14,d ow n
don't,14,n
don't,14,d ow
don't,14,d ow n t
don't,14,ax ng
don't,14,ow
don't,14,ax
don't,14,d t ow n
don't,14,ay ow
don't,14,d uh
over,3,ow v ax
over,3,ao v uh
over,3,ow er
misdemeanor,1,m ih s d ax m iy n ax
years,2,ih z
years,2,y ih er s
course,2,k ao r s
course,2,k ow r s
lands,1,l ae n t z
through,4,t uw
through,4,th r uw
through,4,th ae uw
through,4,th ih uw
still,3,s t ax l
still,3,s t ih l
still,3,t ih l
bunch,2,b ah ch
bunch,2,b ah n ch
interesting,1,ih n t ch uh s t ih ng ih
fix,1,f ih t s
varies,2,v eh er iy z
varies,2,v eh r iy s
actually,1,ae k sh ih
late,1,l ey t
choose,1,ch uw z
weeks,1,w iy s
imbalance,1,ih m b ae ax s
might,1,m ay
texas,3,t eh k s ax s
texas,3,t eh k s ax z
texas,3,t eh k s ih s
then,7,d dh eh n
then,7,dh eh n
then,7,d ih
then,7,dh ih n
then,7,dh ax
then,7,eh n
then,7,th eh n
them,9,ih m
them,9,dh ax m
them,9,dh eh m
them,9,d ih m
them,9,m
them,9,dh ih m
them,9,ax
them,9,ax m
them,9,t d ih m
good,3,g ih d
good,3,g uh
good,3,g uh d
school,1,s k uw uh
number,1,n ah m b er
you've,1,y uh v
they,10,eh
they,10,dh ih
they,10,n ey
they,10,dh eh
they,10,th ey
they,10,ih
they,10,ey
they,10,t ey
they,10,d ey
they,10,dh ey
half,1,hh ae f
not,9,t aa d
not,9,n aa t
not,9,n ao t
not,9,n ah
not,9,ah t
not,9,n aa d d
not,9,n aa
not,9,n aa d
not,9,n ah d
now,6,n ow
now,6,n aw
now,6,n aw ax
now,6,n ae aw
now,6,n ae
now,6,n ae aw hh
undeveloped,1,ah n d ax v eh uh ax p t
day,2,t d ey
day,2,d ey
warned,1,w ow r n d
leading,1,l iy d iy ng
someone,1,s ax m w ah n
rock,1,r aa k
americans,1,ax n ax m eh r ih k ax n z
went,3,ax w ih n
went,3,w eh ih n
went,3,w eh n
mean,4,m iy
mean,4,m iy ih
mean,4,m ih n
mean,4,m iy n
development,1,t d ih v eh uh ax m eh n t
showering,1,sh aw ax r iy n
financial,1,f ax n ae n ch ax l
weight,2,w ey d
weight,2,w ey t
doing,6,d uh ih ng
doing,6,d uw iy n
doing,6,d uw n
doing,6,d uw iy ng
doing,6,d uh ah ng
doing,6,t d uw n
house,1,hh aw s
hard,1,hh aa r d
idea,2,ay d iy ax
idea,2,ay d iy ih ax r
brother,1,b r ah dh ax r
society,1,s ay t iy
extended,1,ih k s t eh n d ih d
fifteen,2,f ih f t iy n
fifteen,2,ih f t iy n
year,4,y er ax
year,4,iy er
year,4,ih ax r
year,4,y ih er
but/well,1,b w ax
our,2,aa r
our,2,aa ax r
girl,2,g ax r l
girl,2,g er l
saturday,1,s ae t ax r d ey
really,8,ax l iy
really,8,r ih l ih
really,8,r iy l iy
really,8,r uh l iy
really,8,r ih uh iy
really,8,r iy ax l iy
really,8,r ih l iy
really,8,r ih uh ih
storing,1,s t ao r ih ng
twice,1,t w ay s
since,1,s ax n s
forty,2,f ao r t ih
forty,2,f ao r t iy
research,1,r iy s er ch
looking,1,l uh k ih n
seriously,1,s ih r ih s l iy
miles,2,m ay ax l z
miles,2,m ay l s
health,1,hh eh l th
got,7,g aa t
got,7,k aa
got,7,k ah t
got,7,g ah t
got,7,g ax t ax
got,7,g ah
got,7,g aa
one's,1,uh w ah n s
eagle,1,iy g ax l
theory,1,t ih ax r ih
city,1,s ih t iy
commits,1,k ax m ih t s
palatial,1,p ax l ey sh ax l
little,4,l ih t ax l
little,4,l ih ax l
little,4,l ax l
little,4,ah
advantages,1,eh d v ae ax jh ih s
rebel,1,r b eh aw
imagine,1,ih m ae jh ih n
put,3,p uh d
put,3,p uh t
put,3,p t
wanted,1,w ao n
care,4,k eh er
care,4,k ih eh r
care,4,k eh r
care,4,k eh
benefits,1,b eh n ih f ih t s
could,2,k uh d
could,2,k ih
days,2,d ey z
days,2,d ey s
keep,1,k iy p
thing,4,th ey ng
thing,4,th ih ng
thing,4,th ey ng g
thing,4,th iy ng
american,2,ax m eh r ih k ih n
american,2,ax m eh er k ax n
scouts,2,s k aw t s
scouts,2,s k aw s
think,8,th ih k
think,8,th ih ng
think,8,dh ih g
think,8,th ih ng k
think,8,th iy ng k
think,8,th ih g
think,8,th eh k
think,8,th iy ng
south,1,s aw th
cleaning,1,k l iy ih n
major,1,m ey jh ax r
someday,1,s ah m d ey
feel,1,f iy ow
coming,1,k ah m ax ng
encouraging,1,eh n g k er ih jh ih ng
rank,1,r ey ng g
one,3,w ah n
one,3,uh w
one,3,w ah
feet,1,f iy t
done,1,d ah n
another,4,ax n ah dh er
another,4,n ax dh ax r
another,4,n ah dh ax
another,4,ax n ah dh ax r
backyard,2,b ae k y aa r
backyard,2,b ae k y aa r d
potted,1,p aa t ih d
you're,2,iy
you're,2,y er
guess,3,g k eh s
guess,3,g eh s
guess,3,g ih s
basketball,1,b ae s k ow b ao l
service,2,k s er v ax s
service,2,s er v ih s
twenty,3,t w ax n iy
twenty,3,t w eh n iy
twenty,3,t w ah n iy
caught,2,k aa
caught,2,k aa t
system,1,s ih s t ax m
least,2,l iy s t
least,2,l iy s
their,6,dh ih ax r
their,6,dh eh ax r
their,6,dh eh er
their,6,dh er
their,6,dh eh r
their,6,eh er
too,3,t uw
too,3,t ih
too,3,t uh
hundred,2,hh ah n d ax r d
hundred,2,ah n d er
store,2,s t uw r
store,2,s t ow r
gives,1,g ih v z
lot,3,l aa
lot,3,l aa t
lot,3,l ao t
mostly,2,m ow s l ih
mostly,2,m ow s l iy
that,30,
that,30,ae
that,30,n ih t
that,30,dh ae t
that,30,d dh ih
that,30,ih
that,30,dh ae aw
that,30,dh ae d
that,30,t eh
that,30,dh eh d
that,30,ax t
that,30,t d ih t
that,30,d ae t
that,30,dh eh t
that,30,dh ow
that,30,d dh eh t
that,30,dh ah d
that,30,th ax
that,30,dh aa
that,30,dh eh
that,30,dh ae
that,30,dh ax
that,30,dh eh dh
that,30,dh ih d
that,30,ae t
that,30,d ae
that,30,dh ih t
that,30,ae d
that,30,th ae t
that,30,d dh ih t
punish,1,p ah n ih
gym,1,jh ih m
nobody,1,n ow b ah uh
expend,1,ih k s p eh n d
part,1,p ao ax d
concentrating,1,k aa t s ih n t r eh ih ng
than,3,dh uh n
than,3,dh ih n
than,3,n
distance,1,t d ih s t ih n t s
kind,5,k aa
kind,5,k ay
kind,5,k ay n d
kind,5,k ax n
kind,5,k ay n
older,1,ow l d er
see,3,s ih
see,3,s iy
see,3,s uh
shower,1,sh aw er
states,2,s t ey t s
states,2,s t ey t
supposed,1,z p ow s
were,2,w er
were,2,er
treated,1,t r iy t ih d
and,18,ax ng
and,18,ih n
and,18,uh n
and,18,ax n d
and,18,iy eh n
and,18,ae n t
and,18,ih d
and,18,n
and,18,ae eh n
and,18,ih
and,18,ae ih n
and,18,eh n
and,18,ax n
and,18,ae n d
and,18,eh
and,18,ae n
and,18,hh n
and,18,ih ax n
basically,1,p b ey s ih k l iy
gals,1,g ae l z
sad,1,s ae d
talking,1,t ao k ih ng
say,1,s ey
have,8,hh ae ax v
have,8,ah
have,8,hh ae v
have,8,eh v
have,8,ah v
have,8,ey v
have,8,v
have,8,hh eh v
need,3,n iy
need,3,n iy t
need,3,n iy d
seen,1,s iy n
seem,2,s iy m
seem,2,s ih m
wondered,1,w ah n er
any,4,iy
any,4,ih
any,4,ih n iy
any,4,uw ih n iy
dallas,2,d ae ax s
dallas,2,d ae ah ax s
trip,1,t r ih p
incentive,1,ax n s eh n ih v
also,2,ao uh s ow
also,2,aa ao s ow
high,1,hh ay
causing,1,k ao z n
take,2,d t ey k
take,2,t ey k
which,1,w ih ch
jail,3,jh ah
jail,3,jh eh l
jail,3,jh eh uh
play,1,p l ey
sure,4,sh uw er
sure,4,sh er
sure,4,sh er ax
sure,4,sh r
pain,1,p ey n
normal,1,n ao m ax l
revolving,1,r ih v aa l v ih n
knew,1,n uw
intentions,2,t eh n ch ah n z
intentions,2,ax n t eh n ch ah n z
eight,1,ey t
'cause,3,k ah z
'cause,3,k ax
'cause,3,k uh
nothing,1,n ah th ih ng
america,4,ah m eh r ah k ah
america,4,ax m eh r ax k ax
america,4,ax m eh r ih k ax
america,4,ax m er ax k uh
extremely,2,ih k s t r iy uh iy
extremely,2,r k s ch r iy m l iy
class,2,k l ae s
class,2,k uh ae s
dealers,1,d iy l ax r z
sometimes,3,s ax m t ay m s
sometimes,3,s ah m t ay m z
sometimes,3,s ah m t ae m s
looked,1,l uh k t
definitely,1,t d eh f ax uh iy
senior,2,s iy n y ax
senior,2,s iy n y er
tubes,1,t uw b z
came,2,k ey m
came,2,k eh m
particularly,2,p ax r t ih k y er ax l iy
particularly,2,p t ih k y l iy
show,2,sh ow
show,2,sh
anyway,1,ih n iy w ey
fifty,3,f ih v t iy
fifty,3,f ih f t iy
fifty,3,ih f t iy
fine,1,f ay n
with,5,w uh
with,5,ax t
with,5,w ih th
with,5,w ih
with,5,w ih dh
weekends,1,w iy k eh n t s
should,3,sh ih d
should,3,sh
should,3,sh uh d
idiots,1,ih d iy ih t s
going,4,g ax n
going,4,ax n ah
going,4,g ow ax
going,4,g ow ih n
pretty,4,p er t iy
pretty,4,er t iy
pretty,4,p r iy
pretty,4,p r ih t iy
folks,2,t f ow k s
folks,2,f ow k s
hardened,1,hh ao r n ng
do,14,d uw
do,14,dh uw
do,14,d
do,14,d ih
do,14,d ih ax
do,14,t uw
do,14,jh
do,14,d t uw
do,14,d uw ax
do,14,y
do,14,uh
do,14,t ih
do,14,t d uw
do,14,d uh
his,4,ih s
his,4,ih z
his,4,hh ih z
his,4,hh ih s
handle,1,hh ae n d ax l
get,7,y eh
get,7,g eh
get,7,g eh t
get,7,g ih t
get,7,g ih
get,7,g k eh t
get,7,k g eh t
cholera,1,k aa l er ah
winters,1,w ih n er s
perceive,1,p er s iy v
patted,2,p eh t ih d
patted,2,p eh d
community,1,k ax m uw t iy
ones,1,ah n s
longest,1,l aa ng g s
altogether,1,ao l t g eh dh ax r
unethical,1,ah n eh th ih k ax l
him,1,iy m
forty-five,1,f ao r t iy f ay f
reading,1,r iy ax n
scene,1,s iy ih
countries,1,k ah n t r iy z
areas,1,iy er iy ax z
generally,1,ch ah n r l ih
taxes,1,t ae k s z
worried,1,w er iy
jokes,1,d jh ow k s
bad,2,p b ae d
bad,2,b ae d
stuff,1,s t ah f
she,2,sh uh
she,2,sh iy
grab,1,g r ae b
steal,2,s t iy uh l
steal,2,s t ih l
vermont,1,v er m aa ax n t
seventeen,1,s eh v ih n t ch iy n
learn,1,uh er n
ends,1,eh n z
depends,1,d ih p ih n z
are,7,aa r
are,7,ax r
are,7,ao
are,7,aa er
are,7,uh
are,7,ao r
are,7,er
best,1,b eh s t
instance,1,ih n s t ih n s
said,6,s eh
said,6,s ih
said,6,ih d
said,6,s
said,6,s iy
said,6,s ih d
away,1,ax w ey
enough,1,ax n ah f
there's,11,
there's,11,d dh ih z
there's,11,dh eh uw s
there's,11,d
there's,11,dh eh r z
there's,11,dh ey r z
there's,11,dh eh er z
there's,11,dh ih s
there's,11,dh er z
there's,11,dh ih z
there's,11,y r s
hopefully,1,hh ow p f ax l iy
probably,1,p r aa iy
before,1,b iy f ao
across,1,ih k r ao s
we,3,
we,3,w
we,3,w iy
latin,3,l ae d ax n
latin,3,l ae t ax n
latin,3,l ae ax n
jobs,1,jh aa b z
parent,2,p eh r ax n
parent,2,p eh r ax
t.v.,1,t iy v iy
however,1,hh aa eh v ax r
blame,1,b l ey m
extent,1,ih g s t eh n
come,2,k ah m
come,2,k ax m
both,2,b ow th
both,2,p ow th
last,2,l ae s t
last,2,l ae s ch
epidemics,1,eh p ax d ih m ih k s
country,2,k ah n t r iy
country,2,k ah n t ch r iy
them's,1,ax m z
drug,1,jh r ah g
called,1,k ao l d
tour,2,t uw r
tour,2,t ao r
became,1,b iy k ey m
governmentally,1,k g ah v er m eh n ax l iy
senator,5,s eh n eh t er
senator,5,s ih ah t ax
senator,5,eh n ah d er
senator,5,s eh n t er
senator,5,s eh ah t ow
backpack,1,b p ae k p ae k
can't,2,k ae n
can't,2,k eh
duty,1,d uw t iy
tough,1,t ah f
point,1,p oy n t
seems,2,s iy m z
seems,2,s iy m s
prosecuting,2,p r aa s ih k uw t n
prosecuting,2,p r aa s k uh t ih ng
whatever,2,w ah t eh v ax r
whatever,2,w ah eh v er
walk,1,w ao k
pole,1,p ow w
couldn't,1,k uh d ax n
respect,1,r ih s p eh k t
expensive,1,ih k s p eh n t s ih v
citizenship,1,s ih t ih s ax n sh ih ax p
light,1,l ay t
holdings,1,hh ow l d ih ng g z
it's,5,t s
it's,5,ih t s
it's,5,ih s
it's,5,ih d s
it's,5,ih z
three,1,th r iy
been,3,b iy n
been,3,b ih n
been,3,b p ih n
much,4,m ax t ch
much,4,m ah ch
much,4,m ah sh
much,4,m uh ch
damn,1,d ae m
interest,1,ih n t r ih s t
basic,1,b p ey s ih k
life,1,ax l ay f
lived,1,l ih v d
reaction,1,r iy ae k sh ax n
drugs,1,d r ah g k z
else,2,eh uh s
else,2,eh l s
bulk,1,b ow k
hmm,1,m
understand,1,ah s eh
child,3,ch ay l d
child,3,ch aa l
child,3,ch aa aw
those,3,dh ow s
those,3,dh ax s
those,3,uh ow z
look,1,l uh k
these,1,dh iy z
means,1,m iy s
n,1,n
near,1,n ih r
haven't,1,hh ae v ih n
behavior,2,b iy hh ey v y ao r
behavior,2,b iy hh ey v y er
many,1,m ih n iy
fun,1,f ah n
situation,1,s ih ch uh ey sh ih n
biking,3,b ay k iy ng
biking,3,p b ay k iy ng
biking,3,b p ay k iy ng
wouldn't,2,w uh d n
wouldn't,2,n
mexico,1,m eh k s iy k ow
is,11,z
is,11,d
is,11,g ih z
is,11,p
is,11,t ih z
is,11,ih
is,11,ih z
is,11,uw z
is,11,ih t
is,11,ih s
is,11,ih hh s
it,10,ax t
it,10,ah
it,10,ih d
it,10,ih
it,10,ax d
it,10,t
it,10,uh
it,10,ax
it,10,ih t
it,10,uh t
middle,1,m ih d ax l
evening,1,uh v n ih ng
in,7,ih n
in,7,ih m
in,7,ih ng
in,7,n
in,7,ih
in,7,ax n
in,7,aw ih n
ready,1,w eh d iy
rid,1,r ih d
if,5,ih f
if,5,ih m
if,5,v
if,5,ih v
if,5,f
funny,1,f ah n iy
different,1,d ih f er n
anymore,1,eh n iy m ao r
perhaps,2,p er hh ae p s
perhaps,2,p r ae p s
pay,1,p ey
make,1,m ey k
s,2,eh s
s,2,uw eh s
who,1,hh uw
anaerobic,1,eh n eh r ow b ih k
adverse,1,ah d v er s
parts,1,p aa r t s
aerobics,1,ow b ih k s
several,1,s eh v r ax l
week,1,w iy k
fairly,1,f eh r l iy
used,1,y ih s
columbia,1,k ax l ah m b iy y ax
centuries,1,s ih n ch er iy s
overcrowded,1,ow ax r k r aw d ih d
user,1,y uw z ax
kid,1,k ih d
lower,2,l ah er
lower,2,l ow ax r
off,1,ao f
mother's,1,m ah dh ax r s
i,15,aa
i,15,ae
i,15,aa ay
i,15,ax ow
i,15,ey ax
i,15,ah
i,15,eh
i,15,ih
i,15,k ih
i,15,aw
i,15,hh aa
i,15,ay
i,15,ax
i,15,k ay
i,15,iy ay
bicycling,2,b ay s ih k l iy ng
bicycling,2,b ay s ih k ax l ng
well,9,w uh
well,9,w ax
well,9,w ah ax
well,9,w ax l
well,9,w ah
well,9,w eh l
well,9,ah ow
well,9,w ah l
well,9,ax l
spent,1,s p eh n t
mother,2,m ah dh ax r
mother,2,m ah dh er
inability,1,ih n ax b ih l ih t iy
the,32,t ax
the,32,ah
the,32,d dh ih
the,32,d t ax
the,32,ih
the,32,d jh ah
the,32,ax
the,32,n ax
the,32,th ow
the,32,n ih
the,32,dh ih
the,32,th ih
the,32,dh iy
the,32,dh uh
the,32,t
the,32,th ax
the,32,dh
the,32,t d ax
the,32,t dh iy
the,32,d iy y
the,32,dh ax
the,32,l ih
the,32,d iy
the,32,ey y
the,32,t d uh
the,32,d ah
the,32,ch ax
the,32,d eh
the,32,d ax
the,32,uh
the,32,ow
the,32,t ih
summer,1,s ah m er
just,8,jh ax s
just,8,jh s
just,8,zh ih s
just,8,d jh ah sh ch
just,8,jh ah s
just,8,jh ih s t
just,8,jh ih s
just,8,ch ih s
less,3,ax l ah s
less,3,l ah s
less,3,l eh s
money,1,m ah ih
sister-in-law,1,s ih s t ax r ih n l ao
hands,1,hh ae n t
rest,1,r eh s t
clinic,1,k l eh n ih k
financially,1,f ay n ae n sh ax l iy
yes,1,y eh s
hills,2,hh ih ax l z
hills,2,hh ih l z
equipment,1,ax k uh p m ax n
thinking,2,th ih ng k ih n
thinking,2,th iy ng k n
we've,1,w iy v
supply,2,s ax p l ah
supply,2,s ax p l ay
had,5,hh ih d
had,5,hh ah d
had,5,hh ae
had,5,hh ae d
had,5,ae d d
hilly,2,hh ih l iy
hilly,2,hh ih uh l iy
source,1,s ow r s
parents,7,p eh er n t s
parents,7,p eh r ih n t s
parents,7,p eh r n t s
parents,7,p eh r ax n t s
parents,7,p eh r ax n s
parents,7,p ax er ax n t s
parents,7,p eh r s
has,2,z
has,2,ih z
pot,1,p aa t
ought,2,aa t
ought,2,ao t
gave,1,g ey v
aspects,1,ae s p eh k s
around,3,ax r aw n
around,3,r ax n
around,3,r aw n
government,1,g ah v ih m ih n t
big,2,b ih g
big,2,p b iy g
couple,3,k ax p ax l
couple,3,k ah p ax l
couple,3,k ah b p ax l
gonna,3,ah n ax
gonna,3,y ow n
gonna,3,g ax
five,1,f ay v
know,7,n ow
know,7,n ax
know,7,t ow
know,7,n ah
know,7,n ae ow
know,7,n ao
know,7,ow
world,1,w er l d
bit,1,b ih t
accepted,1,ih k s eh p t ih d
fools,1,f uw w z
like,4,ay
like,4,ah l ay k
like,4,l ay k
like,4,w ay k
productive,1,p r er d ah t iy v
hunk,1,hh ah ng k
either,2,iy dh er
either,2,ay dh er
night,2,n ay d
night,2,n ay t
become,1,b iy k ah m
twelve,1,t ao l v
right,3,r ay t
right,3,r ay
right,3,r ay d
old,1,ow l
deal,1,d iy ax l
people,9,b iy b ax
people,9,n p uh p ax l
people,9,m p iy p ax l
people,9,p iy p b
people,9,p iy b ax l
people,9,b iy b ax l
people,9,p uh p uh
people,9,p ih uw
people,9,p iy p ax l
absolutely,1,ae b s ax l uw l iy
some,3,s ah m
some,3,s ax m
some,3,s ih m
back,1,b ae k
elderly,1,eh l d ax r l iy
ranking,1,r ae k ih ng
home,2,hh ow m
home,2,ow m
nicaragua,1,n ih k er aa w aa
lima,1,l iy m ax
cooper,1,k uw p ax r
for,14,s f er
for,14,ax r
for,14,f ax r
for,14,f ao er
for,14,f
for,14,f ao
for,14,f er
for,14,f ih
for,14,f ao r
for,14,f oy
for,14,f ax
for,14,f ow ao
for,14,f ow er
for,14,f uh
aerobic,1,r ow b ih k
though,1,d ow
hepatitis,1,hh eh p ih t ay t ih s
when,4,uh w eh n
when,4,w ax n
when,4,w ih n
when,4,w eh n
does,2,ih z
does,2,d uh z
?,4,ax
?,4,s
?,4,r iy g aa
?,4,y ih ow
t,1,t iy
be,4,b iy
be,4,p iy
be,4,p b iy
be,4,b ih
y'know,3,n iy ah
y'know,3,y n ow
y'know,3,y iy ow
eating,1,iy t ih ng
power,2,p aw ax r
power,2,p aw er
internship,2,ih n t er n sh ih p
